id,locationInfo,index,labels,country
2062338172,415,1350284,0,is
1970654339,"Los Angeles, CA",299912,0,us
1823154926,"California, USA",854786,4,us
1753773906,Velsen/Beverwijk,132036,4,nl
2017217221,"Houston, TX (29.689651,-95.398",642074,0,us
2066591756,The New Europe,301823,4,au
1936036278,"iPhone: 38.903351,-77.044266",1335258,0,au
2053090449,Newcastle  ,1250967,4,gb
2014845977,Wisconsin ,974788,0,us
1833421362,"Sheffield, Norton",746352,4,gb
2000937701,NORTHWEST ,40862,4,cm
2250488873,"Lavender City, Kanto",669189,0,vn
1984329790,"Little Rock, Arkansas",1258820,4,us
1989389701,"Sacramento, CA",1314239,4,us
2260105923,"BG, Kentucky",913805,0,de
2189526398,"ÜT: -6.257039,106.799582",523485,4,id
1881645735,Los Angeles,1334242,4,us
2062370498,Texas,562648,0,us
1984860464,"Mississippi, USA",1035019,0,us
2256104588,UT,354434,0,us
1687043088,"Melbourne, Australia",856253,0,au
1995227975,Bergen,459494,0,no
2054259690,"Saigon, Vietnam",896297,0,vn
1554465373,"los angeles, CA",644730,4,us
2045332259,down the rabbit hole,405381,0,au
2052578691,"Las Vegas, NV",1090080,4,us
1999994063,NYC,310551,4,us
1984054103,Lichfield,395084,4,gb
1880521508,"Musandam, Oman",890689,4,om
2213033400,California,1521799,0,us
1792590062,"Glasgow, Scotland",990051,4,gb
1469269790,United States,1306914,4,us
2053289362,somewhere in England,740453,4,gb
1770837078,Canada,1586076,4,ca
1553673616,"Fall River, MA",860841,0,us
1565916441,Nashville,519728,4,us
2180396954,"Redwood Shores, CA",493853,0,us
2195413603,"Johannesburg, South Africa",776026,0,za
1827771824,"Nebraska, USA",1596918,4,us
2176711648,"South Dublin, Ireland",1528583,4,ie
1999472041,"Ontario, Canada",1452107,4,ca
1975419323,"Arrington, TN",214974,0,us
1971872856,"ÜT: -23.533012,-46.693504",1139550,4,us
2066446642,"Midsomer Norton, England",1082208,4,gb
1550848144,Northampton,230718,0,gb
2060822729,"Perth, Western Australia",1534006,4,au
2203022655,Australia/Indonesia,467327,0,id
2054718003,West Midlands,1299868,4,gb
2261521967,"Sonoma County, California",1294251,0,us
2265375467,Texas,559505,0,us
2000739050,CA,1389617,4,ca
2000286600,"ÜT: 39.778913,-85.991226",1232244,0,ca
2176653839,United Kingdom,566014,0,gb
1685423721,"iPhone: 44.902771,-93.557800",690295,0,gb
2328582443,"Phoenix, AZ",774376,0,us
2060563255,"Seattle, WA",966272,4,us
1791858338,Arizona,1296790,4,us
2049165245,"Indianapolis, Indiana",291966,4,us
1981611153,Silverdale WA,1060934,4,us
2051460172,Uranus.,387528,4,ro
1686593177,"Atlanta, GA",1432276,4,us
2017440346,São Paulo/SP,251093,4,br
2066515002,"Bridgend, Wales",671125,0,gb
2185963764,USA,1341376,4,us
1970037546,"manila, philippines",684143,0,ph
1685935302,Hawaii ,540901,4,us
2213221153,"ÜT: 50.80194,-0.042718",1261949,0,us
2186548270,Penang,1433682,0,my
1999237538,"Austin, TX",1505603,4,us
